acteurs,annee,description,duree,genre,pays,public,score,titre
"Michaela Jaé (MJ) Rodriguez,Indya Moore,Dominique Jackson",2018–2021,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",1h,Drama,United States,TV-MA,8.6,Pose
"Henry Thomas,Michiel Huisman,Carla Gugino",2018,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",9h 32m,Drama,United States,TV-MA,8.6,The Haunting of Hill House
,1980–1984,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",30m,Comedy,United Kingdom,TV-PG,8.7,Yes Minister
"Robin Driscoll,Matilda Ziegler,Rowan Atkinson",1990–1995,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",25m,Comedy,United Kingdom,TV-G,8.6,Mr. Bean
"Joe Locke,Kit Connor,Yasmin Finney",2022– ,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,30m,Drama,United Kingdom,TV-14,8.7,Heartstopper
"Michael Stuhlbarg,Peter Sarsgaard,Michael Keaton",2021,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",8h 12m,Drama,United States,TV-MA,8.6,Dopesick
"Chloe Pirrie,Anya Taylor-Joy,Bill Camp",2020,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",1h,Drama,United States,TV-MA,8.6,The Queen's Gambit
"Miles Teller,Matthew Goode,Dan Fogler",2022,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,9h 46m,Biography,United States,TV-MA,8.7,The Offer
"Yu Hayashi,Ayumu Murase,Kaito Ishikawa",2014–2020,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",24m,Animation,Japan,TV-14,8.7,Haikyu!!
"Danica McKellar,Nolan North,Jesse McCartney",2010–2022,Teenage superheroes strive to prove themselves as members of the Justice League.,23m,Animation,United States,TV-PG,8.6,Young Justice
"Kevin Costner,Kelly Reilly,Luke Grimes",2018–2023,A ranching family in Montana faces off against others encroaching on their land.,1h,Drama,United States,TV-MA,8.7,Yellowstone
"Ivana Lotito,Marco D'Amore,Salvatore Esposito",2014–2021,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,55m,Crime,Italy,TV-MA,8.7,Gomorrah
